variable,desviacion_std,impacto_relativo
Charges.Monthly,1.0000579022032285,1.0
Cuentas_Diarias,1.0000579022032285,1.0
tenure,1.0000579022032268,0.9999999999999982
Charges.Total,1.0000579022032265,0.999999999999998
InternetService_Fiber optic,0.4996940940145706,0.49966516230079683
gender,0.4956685933690646,0.4956398947271519
PaperlessBilling,0.49056787255100603,0.4905394692349668
MultipleLines_Yes,0.48601826518047486,0.48599012528147373
Partner,0.4846108498429081,0.48458279143163757
StreamingMovies_1,0.480365370465404,0.48033755786251037
StreamingTV_1,0.47875869946206034,0.47873097988357133
PaymentMethod_Electronic check,0.47579354229807297,0.47576599439877604
DeviceProtection_1,0.445666490796357,0.44564068721871875
OnlineBackup_1,0.4433398396773663,0.44331417081015395
Dependents,0.4077796124159353,0.4077560024450141
OnlineSecurity_1,0.4061260842810173,0.4061025700474748
TechSupport_1,0.4047888578817593,0.40476542107208846
PaymentMethod_Mailed check,0.38329265481800945,0.38327046261379166
Contract_Two year,0.37037013363613563,0.37034868963104317
TechSupport_No internet service,0.367189110087567,0.36716785026008225
DeviceProtection_No internet service,0.367189110087567,0.36716785026008225
OnlineSecurity_No internet service,0.367189110087567,0.36716785026008225
InternetService_No,0.367189110087567,0.36716785026008225
StreamingTV_No internet service,0.367189110087567,0.36716785026008225
StreamingMovies_No internet service,0.367189110087567,0.36716785026008225
OnlineBackup_No internet service,0.367189110087567,0.36716785026008225
PaymentMethod_Credit card (automatic),0.35862902150262826,0.35860825729443496
Contract_One year,0.3539541002231531,0.35393360668752927
SeniorCitizen,0.3451910353050611,0.34517104914082514
PhoneService,0.3032934393354455,0.3032758789938657
MultipleLines_No phone service,0.27204610513497884,0.27203035397813846
